backbone,acc_paper,acc_ours,delta
densenet121_mscp,0.9585,0.9760383386581469,0.017538338658146913
resnet50_mscp,0.9553,0.9648562300319489,0.009556230031948831
shufflenet_v2_mscp,0.9553,0.9728434504792333,0.017543450479233225
squeezenet_mscp,0.9441,0.9616613418530351,0.01756134185303504
mobilenet_v2_mscp,0.9728,0.9664536741214057,-0.006346325878594294
